"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.Team.ID","GJP.User.ID"
12123,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",67,15,"10/29/14 11:14",15,23,22140
12124,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",65,20,"10/29/14 11:14",20,23,22140
12125,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",62,35,"10/29/14 11:14",25,23,22140
12126,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",60,55,"10/29/14 11:15",0,23,22140
12127,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",57,75,"10/29/14 11:15",0,23,22140
12128,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",52,120,"10/29/14 11:15",0,23,22140
12131,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",90,125,"10/29/14 11:16",0,23,22140
12132,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",88,100,"10/29/14 11:16",0,23,22140
12133,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",85,25,"10/29/14 11:16",0,23,22140
12148,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",5,500,"10/29/14 11:27",0,6,22058
12150,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",95,500,"10/29/14 11:27",0,6,22058
12161,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",65,10,"10/29/14 11:32",10,5,8353
12162,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",75,40,"10/29/14 11:34",0,13,6331
12167,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",40,50,"10/29/14 11:41",0,13,6331
12169,"1462 - **Before 10 June 2015, will Iraq's parliament approve the creation of an Iraqi National Guard?","Yes","buy",10,20,"10/29/14 11:52",0,3,22147
12172,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","buy",25,20,"10/29/14 11:55",0,3,22147
12175,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",30,50,"10/29/14 11:59",0,3,22147
12196,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",70,10,"10/29/14 12:15",10,22,9179
12198,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",80,5,"10/29/14 12:19",0,11,3881
12199,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",40,5,"10/29/14 12:19",0,11,3881
12200,"1459 - Will Goodluck Jonathan **vacate the office of President of Nigeria **before 10 June 2015?","Yes","buy",40,5,"10/29/14 12:20",5,11,3881
12221,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",40,10,"10/29/14 12:52",0,26,21930
12222,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","sell",65,10,"10/29/14 12:52",0,26,21930
12223,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",50,20,"10/29/14 12:53",0,19,21988
12224,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",55,20,"10/29/14 12:53",0,19,21988
12225,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",60,20,"10/29/14 12:53",0,19,21988
12226,"1461 - Will there be a *significant **lethal confrontation between **national military forces from Iran and Pakistan **before 15 December 2014?","Yes","sell",50,20,"10/29/14 12:54",0,25,24180
12227,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",40,50,"10/29/14 12:54",0,19,21988
12228,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",35,50,"10/29/14 12:54",0,19,21988
12229,"1460 - Will 2014 be Earth's warmest calendar year *on record?","Yes","buy",70,15,"10/29/14 12:54",15,19,21988
12230,"1459 - Will Goodluck Jonathan **vacate the office of President of Nigeria **before 10 June 2015?","Yes","sell",50,20,"10/29/14 12:57",0,25,24180
12237,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Shokichi Kina","sell",40,150,"10/29/14 13:23",0,23,22140
12238,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Shokichi Kina","sell",37,120,"10/29/14 13:23",0,23,22140
12239,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Hirokazu Nakaima","buy",32,150,"10/29/14 13:23",0,23,22140
12240,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Hirokazu Nakaima","buy",34,125,"10/29/14 13:24",0,23,22140
12242,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Hirokazu Nakaima","buy",37,10,"10/29/14 13:26",0,23,22140
12243,"1458 - Who will win the **election for governor in Japan's Okinawa prefecture?","Someone else","sell",30,150,"10/29/14 13:26",0,23,22140
