"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.User.ID"
1312,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",1,1000,"8/20/14 12:33",0,6727
1313,"1244 - Will India and/or Brazil become a permanent member of the U.N. Security Council before 1 March 2015?","Yes","sell",75,10,"8/20/14 12:33",0,21634
1319,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","buy",2,500,"8/20/14 12:34",0,6727
1320,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",33,25,"8/20/14 12:34",0,14473
1322,"1411 - Will North Korea test a *long-range missile **before 1 June 2015?","If South Korea agrees to deploy the U.S. military's Terminal High-Altitude Area Defense (THAAD) missile defense system","buy",50,200,"8/20/14 12:34",0,21633
1323,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",99,1000,"8/20/14 12:34",0,6727
1324,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",35,100,"8/20/14 12:34",100,21762
1325,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",75,100,"8/20/14 12:34",0,6727
1329,"1415 - Will there be a **lethal confrontation involving Russian **national military forces in Ukraine **before 1 October 2014?","Yes","sell",65,50,"8/20/14 12:34",50,6727
1331,"1409 - Will a runoff be required in Brazil's 2014 presidential election?","Yes","buy",1,10000,"8/20/14 12:35",0,21689
1341,"1410 - Will an independence referendum *pass in Scotland?","Yes","sell",35,100,"8/20/14 12:36",0,21762
1344,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",75,100,"8/20/14 12:36",0,6727
1346,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",1,1000,"8/20/14 12:36",0,6727
1348,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",2,500,"8/20/14 12:36",0,6727
1350,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",3,250,"8/20/14 12:37",0,6727
1352,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","buy",4,125,"8/20/14 12:37",0,6727
1366,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",50,50,"8/20/14 12:38",50,6727
1369,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",99,1000,"8/20/14 12:38",0,6727
1373,"1412 - Will the TOPIX Index close at or below 1200.00 **between 20 August 2014 and 31 October 2014?","Yes","sell",98,1000,"8/20/14 12:38",0,6727
